SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
LIC.0325;Seminário de Orientação de Estágio Docente IV;Graduação;15;20;1;Sim;LIC.603.0055;Curso 603
LIC.0376;Seminário de Orientação de Estágio Docente IV;Graduação;15;20;1;Sim;-;Curso 106
LIC.0473;Seminário de Orientação de Estágio Docente IV;Graduação;15;20;1;Sim;LIC.411.0026;Curso 411
LIC.0516;Seminário de Orientação de Estágio Docente IV;Graduação;15;20;1;Sim;LIC.413.0038;Curso 413
LIC.0670;Seminário de Orientação de Estágio Docente IV;Graduação;15;20;1;Sim;-;Curso 710
ENG.0059;Seminário de Orientação de Estágio Supervisionado;Graduação;30;40;2;Sim;-;-
CIV.0096;Seminário de Orientação de Estágio  Supervisionado (24h);Graduação;4;5;1;Sim;-;-
ESA.0053;Seminário de Orientação de Estágio  Supervisionado(4h);Graduação;4;5;2;Sim;-;-
TEC.0799;Seminário de Orientação de Estágio Supervisionado I;Graduação;15;20;1;Sim;TEC.014.0006;Curso 014
TEC.0800;Seminário de Orientação de Estágio Supervisionado II;Graduação;15;20;1;Sim;TEC.014.0007;Curso 014
LIC.0081;Seminário de Orientação de Pesquisa;Graduação;30;40;2;Sim;LIC.602.0031;Curso 602
TEC.0081;Seminário de Orientação de Pesquisa (Curso 436);Graduação;30;40;2;Sim;TEC.436.0027;-
TEC.0990;Seminário de Orientação de Pesquisa e/ou de Estágio Supervisionado;Graduação;30;40;2;Sim;TEC.208.0030;Curso 208
LIC.0125;Seminário de Orientação de Pesquisa I;Graduação;15;20;1;Sim;LIC.430.0034;Curso 430
LIC.0183;Seminário de Orientação de Pesquisa I;Graduação;15;20;1;Sim;LIC.601.0055;Curso 601
LIC.0287;Seminário de Orientação de Pesquisa I;Graduação;15;20;1;Sim;LIC.106.0023;Curso 106
LIC.0326;Seminário de Orientação de Pesquisa I;Graduação;15;20;1;Sim;LIC.603.0050;Curso 603
LIC.0472;Seminário de Orientação de Pesquisa I;Graduação;15;20;1;Sim;LIC.411.0021;Curso 411
LIC.0511;Seminário de Orientação de Pesquisa I;Graduação;15;20;1;Sim;LIC.413.0033;Curso 413
LIC.0665;Seminário de Orientação de Pesquisa I;Graduação;15;20;1;Sim;-;Curso 710
LIC.0131;Seminário de Orientação de Pesquisa II;Graduação;15;20;1;Sim;LIC.430.0035;Curso 01430
LIC.0190;Seminário de Orientação de Pesquisa II;Graduação;15;20;1;Sim;LIC.601.0056;Curso 601
LIC.0327;Seminário de Orientação de Pesquisa II;Graduação;15;20;1;Sim;LIC.603.0051;Curso 603
LIC.0474;Seminário de Orientação de Pesquisa II;Graduação;15;20;1;Sim;LIC.411.0022;Curso 05411
LIC.0515;Seminário de Orientação de Pesquisa II;Graduação;15;20;1;Sim;LIC.413.0034;Curso 413
LIC.0666;Seminário de Orientação de Pesquisa II;Graduação;15;20;1;Sim;-;Curso 710
LIC.0793;Seminário de Orientação de Pesquisa II;Graduação;15;20;1;Sim;-;Curso 106
TEC.0189;Seminário de orientação de pesquisa ou de estágio supervisionado I (Curso 502);Graduação;30;40;2;Sim;TEC.502.0034;-
TEC.0205;Seminário de orientação de pesquisa ou de estágio supervisionado II (Curso 502);Graduação;30;40;2;Sim;TEC.502.0035;-
TEC.0605;Seminário de Orientação de Projeto Integrador;Graduação;30;40;2;Sim;TEC.0069.0020;Curso 069
TEC.0703;Seminário de Orientação de Projeto Integrador;Graduação;30;40;2;Sim;TEC.806.0028;-
TEC.0753;Seminário de Orientação de Projeto Integrador;Graduação;30;40;2;Sim;TEC.809.0027;Curso 809
TIN.0927;Seminário de Orientação de Projeto Integrador;Médio;10;13;1;Sim;-;Curso 19034
TEC.1013;Seminário de Orientação de Projeto Integrador;Graduação;30;40;2;Sim;-;Curso 014
TEC.1179;Seminário de Orientação de Projeto Integrador;Graduação;60;80;4;Sim;-;-
TIN.0348;Seminário de Orientação de Projeto Integrador(10H);Médio;10;13;1;Sim;TIN.015.0016;-
TIN.0369;Seminário de Orientação de Projeto Integrador(10H);Médio;10;13;1;Sim;TIN.016.0021;-
TEC.0398;Seminário de Orientação de Projeto Integrador(30H);Graduação;30;40;2;Sim;TEC.048.0020;Curso 03048
TEC.0164;Seminário de Orientação de Projeto Integrador (Curso 405);Graduação;30;40;2;Sim;TEC.405.0029;-
LIC.0049;Seminário de Orientação de Projeto Integrador I;Graduação;30;40;2;Sim;LIC.602.0029;Curso 01602
LIC.0101;Seminário de Orientação de Projeto Integrador I;Graduação;30;40;2;Sim;LIC.430.0032;Curso 01430
LIC.0265;Seminário de Orientação de Projeto Integrador I;Graduação;30;40;2;Sim;LIC.106.0022;Curso 07106
LIC.0373;Seminário de Orientação de Projeto Integrador I;Graduação;30;45;2;Sim;-;-
LIC.0384;Seminário de Orientação de Projeto Integrador I;Graduação;30;40;2;Sim;-;Curso 603
LIC.0467;Seminário de Orientação de Projeto Integrador I;Graduação;30;40;2;Sim;LIC.411.0019;Curso 05411
LIC.0500;Seminário de Orientação de Projeto Integrador I;Graduação;30;40;2;Sim;LIC.413.0031;Curso 413
LIC.0663;Seminário de Orientação de Projeto Integrador I;Graduação;30;40;2;Sim;-;Curso 710
LIC.1073;Seminário de Orientação de Projeto Integrador I;Graduação;15;20;1;Sim;-;Curso 603
TEC.1038;Seminário de Orientação de Projeto Integrador I;Graduação;30;40;2;Sim;-;-
TEC.0350;Seminário de Orientação de Projeto Integrador I(30H);Graduação;30;40;2;Sim;TEC.805.0030;Curso 05805
TEC.0453;Seminário de Orientação de Projeto Integrador I(30H);Graduação;30;40;2;Sim;TEC.102.0029;Curso 01102
TEC.0491;Seminário de Orientação de Projeto Integrador I(30H);Graduação;30;40;2;Sim;TEC.804.0024;Curso 06804
TEC.0538;Seminário de Orientação de Projeto Integrador I(30H);Graduação;30;40;2;Sim;TEC.304.0023;Curso 01304
LIC.0057;Seminário de Orientação de Projeto Integrador II;Graduação;30;40;2;Sim;LIC.602.0030;Curso 01602
LIC.0107;Seminário de Orientação de Projeto Integrador II;Graduação;30;40;2;Sim;LIC.430.0033;Curso 01430
LIC.0270;Seminário de Orientação de Projeto Integrador II;Graduação;30;40;2;Sim;LIC.106.0026;Curso 07106
LIC.0374;Seminário de Orientação de Projeto Integrador II;Graduação;30;45;2;Sim;-;-
LIC.0385;Seminário de Orientação de Projeto Integrador II;Graduação;30;40;2;Sim;-;Curso 603
LIC.0468;Seminário de Orientação de Projeto Integrador II;Graduação;30;40;2;Sim;LIC.411.0020;Curso 05411
LIC.0502;Seminário de Orientação de Projeto Integrador II;Graduação;30;40;2;Sim;LIC.413.0032;Curso 413
LIC.0664;Seminário de Orientação de Projeto Integrador II;Graduação;30;40;2;Sim;-;Curso 710
LIC.1074;Seminário de Orientação de Projeto Integrador II;Graduação;15;20;1;Sim;-;Curso 603
TEC.1039;Seminário de Orientação de Projeto Integrador II;Graduação;30;40;2;Sim;-;-
